Фамилия,Имя,Отчество,Статус,Возраст,Город,Вуз,Образование,Направление стажировки,Канал привлечения,Категория,Задачи стажеров
Сидоров,Мартын,Протасьевич,прошел,26,Москва,МГИМО,Высшее,Международные отношения,Рекомендация друга,комплексы Правительства Москвы,Политический анализ
Белов,Кирилл,Павлович,не прошел,25,Санкт-Петербург,СПбГУ,Высшее,Маркетинг,Интернет-реклама,органы власти и учреждения,Промоакции
Исаков,Матвей,Савелиевич,прошел,23,Москва,МГТУ,Высшее,IT,Рекомендация друга,комплексы Правительства Москвы,Анализ данных
Головин,Денис,Филиппович,прошел,24,Санкт-Петербург,СПбПУ,Высшее,Маркетинг,Интернет-реклама,комплексы Правительства Москвы,Медиапланирование
Иванова,Антонина,Леонидовна,прошел,26,Москва,МГИМО,Высшее,Международные отношения,Рекомендация друга,органы власти и учреждения,Дипломатическая работа
Куликов,Виктор,Фёдорович,не прошел,25,Санкт-Петербург,СПбГУ,Высшее,Маркетинг,Интернет-реклама,комплексы Правительства Москвы,Анализ рынка
Андреев,Валерий,Маркович,прошел,23,Москва,МГТУ,Высшее,IT,Рекомендация от учителя,органы власти и учреждения,Разработка веб-приложений
Тимофеева,Алина,Витальевна,прошел,24,Санкт-Петербург,СПбПУ,Высшее,Маркетинг,Интернет-реклама,комплексы Правительства Москвы,Социальные медиа-кампании
Матвеев,Дмитрий,Максимович,прошел,26,Москва,МГИМО,Высшее,Международные отношения,Рекомендация друга,органы власти и учреждения,Международная дипломатия
Семенов,Максим,Никитович,прошел,25,Санкт-Петербург,СПбГУ,Высшее,Маркетинг,Интернет-реклама,комплексы Правительства Москвы,Анализ конкурентов
Петрова,Дарья,Сергеевна,прошел,23,Москва,МГТУ,Высшее,Строительство,Рекомендация друга,органы власти и учреждения,Строительный контроль
1,1,1,1,1,1,1,1,1,1,1,1
